001+002;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.26666666666666666)', '[0.0, infinity)'];['[0.0, 0.06666666666666667)', '[0.4, 0.5333333333333333)', '[0.06666666666666667, 0.6)', '[0.06666666666666667, 0.6666666666666666)', '[0.3333333333333333, 0.7333333333333333)'];['[0.7333333333333333, 0.8)', '[0.6666666666666666, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)']
001+002;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, 0.13333333333333333)', '[0.0, 0.26666666666666666)', '[0.0, infinity)'];['[0.3333333333333333, 0.6)', '[0.06666666666666667, 0.6)', '[0.13333333333333333, 0.6666666666666666)', '[0.3333333333333333, 0.6666666666666666)'];['[0.6666666666666666, 0.7333333333333333)', '[0.7333333333333333, 0.8)', '[0.6666666666666666, 0.8)', '[0.6666666666666666, 0.8)', '[0.6666666666666666, 0.8)']
001+002;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.26666666666666666)', '[0.0, infinity)'];['[0.4, 0.6)', '[0.26666666666666666, 0.6)', '[0.0, 0.6)', '[0.06666666666666667, 0.6666666666666666)'];['[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.6666666666666666, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)']
001+007;['[0.0, 0.06666666666666667)', '[0.0, 0.2)', '[0.0, infinity)'];['[0.0, 0.6)', '[0.06666666666666667, 0.6)'];['[0.6, 0.6666666666666666)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.6666666666666666, 0.8)', '[0.8, 0.8666666666666667)']
001+007;['[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, infinity)'];['[0.0, 0.6666666666666666)', '[0.06666666666666667, 0.7333333333333333)'];['[0.6666666666666666, 0.7333333333333333)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)']
001+007;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, 0.13333333333333333)', '[0.0, infinity)'];['[0.06666666666666667, 0.6666666666666666)', '[0.0, 0.6666666666666666)'];['[0.6666666666666666, 0.7333333333333333)', '[0.6666666666666666, 0.7333333333333333)', '[0.7333333333333333, 0.8)']
001+009;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, infinity)'];['[0.3333333333333333, 0.6)', '[0.0, 0.6666666666666666)', '[0.06666666666666667, 0.6666666666666666)'];['[0.6666666666666666, 0.7333333333333333)', '[0.7333333333333333, 0.8666666666666667)']
001+009;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, infinity)'];['[0.13333333333333333, 0.6666666666666666)', '[0.26666666666666666, 0.7333333333333333)', '[0.4666666666666667, 0.7333333333333333)'];['[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.8, 0.8666666666666667)']
001+009;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.2)', '[0.0, infinity)'];['[0.06666666666666667, 0.6)', '[0.3333333333333333, 0.6)', '[0.26666666666666666, 0.6)'];['[0.6666666666666666, 0.7333333333333333)', '[0.7333333333333333, 0.8)', '[0.6666666666666666, 0.8)', '[0.6666666666666666, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)']
001+010;['[0.0, 0.06666666666666667)', '[0.0, infinity)'];['[0.2, 0.5333333333333333)', '[0.13333333333333333, 0.6666666666666666)', '[0.4, 0.6666666666666666)', '[0.4, 0.6666666666666666)'];['[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)']
001+010;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, infinity)'];['[0.26666666666666666, 0.5333333333333333)', '[0.26666666666666666, 0.6)', '[0.4666666666666667, 0.6666666666666666)', '[0.13333333333333333, 0.6666666666666666)'];['[0.6666666666666666, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)']
001+010;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, infinity)'];['[0.2, 0.5333333333333333)', '[0.13333333333333333, 0.6666666666666666)', '[0.4, 0.6666666666666666)', '[0.4666666666666667, 0.6666666666666666)'];['[0.6666666666666666, 0.7333333333333333)', '[0.6666666666666666, 0.7333333333333333)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)']
001+011;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, infinity)'];['[0.3333333333333333, 0.6)', '[0.4, 0.6)', '[0.26666666666666666, 0.6)', '[0.2, 0.6)'];['[0.6, 0.6666666666666666)', '[0.6, 0.8)', '[0.7333333333333333, 0.8)', '[0.6666666666666666, 0.8)', '[0.6666666666666666, 0.8)', '[0.6666666666666666, 0.8)', '[0.7333333333333333, 0.8)']
001+011;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, infinity)'];['[0.4, 0.5333333333333333)', '[0.3333333333333333, 0.6)', '[0.2, 0.6666666666666666)', '[0.26666666666666666, 0.6666666666666666)'];['[0.6666666666666666, 0.7333333333333333)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.6666666666666666, 0.8)', '[0.6666666666666666, 0.8)', '[0.8, 0.8666666666666667)']
001+011;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, 0.13333333333333333)', '[0.0, infinity)'];['[0.0, 0.06666666666666667)', '[0.5333333333333333, 0.6)', '[0.2, 0.6)', '[0.3333333333333333, 0.6666666666666666)', '[0.2, 0.6666666666666666)'];['[0.6666666666666666, 0.7333333333333333)', '[0.6666666666666666, 0.7333333333333333)', '[0.7333333333333333, 0.8)', '[0.6666666666666666, 0.8)', '[0.7333333333333333, 0.8666666666666667)']
001+013;['[0.0, 0.06666666666666667)', '[0.0, 0.26666666666666666)', '[0.0, 0.3333333333333333)', '[0.0, 0.4)', '[0.0, infinity)'];['[0.4666666666666667, 0.5333333333333333)', '[0.0, 0.6666666666666666)', '[0.4666666666666667, 0.6666666666666666)', '[0.6, 0.6666666666666666)'];['[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.8, 0.8666666666666667)']
001+013;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.2)', '[0.0, 0.4)', '[0.0, infinity)'];['[0.4666666666666667, 0.6666666666666666)', '[0.13333333333333333, 0.6666666666666666)', '[0.5333333333333333, 0.7333333333333333)'];['[0.6666666666666666, 0.7333333333333333)', '[0.7333333333333333, 0.8)']
001+013;['[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, 0.26666666666666666)', '[0.0, 0.3333333333333333)', '[0.0, infinity)'];['[0.4666666666666667, 0.6)', '[0.06666666666666667, 0.6)', '[0.4, 0.6666666666666666)'];['[0.7333333333333333, 0.8)', '[0.6666666666666666, 0.8)', '[0.8, 0.8666666666666667)', '[0.7333333333333333, 0.8666666666666667)', '[0.7333333333333333, 0.8666666666666667)', '[0.7333333333333333, 0.8666666666666667)', '[0.7333333333333333, 0.8666666666666667)']
001+014;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, infinity)'];['[0.4666666666666667, 0.6666666666666666)', '[0.26666666666666666, 0.7333333333333333)'];['[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.8, 0.8666666666666667)']
001+014;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, infinity)'];['[0.4666666666666667, 0.7333333333333333)', '[0.26666666666666666, 0.7333333333333333)'];['[0.7333333333333333, 0.8666666666666667)', '[0.7333333333333333, 0.8666666666666667)', '[0.8, 0.8666666666666667)']
001+014;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, infinity)'];['[0.5333333333333333, 0.6666666666666666)', '[0.26666666666666666, 0.7333333333333333)'];['[0.8, 0.8666666666666667)']
001+016;['[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, 0.2)', '[0.0, 0.2)', '[0.0, infinity)'];['[0.13333333333333333, 0.5333333333333333)', '[0.4, 0.6)', '[0.2, 0.6)'];['[0.6, 0.7333333333333333)', '[0.6666666666666666, 0.7333333333333333)', '[0.6666666666666666, 0.8)', '[0.7333333333333333, 0.8)']
001+016;['[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, 0.3333333333333333)', '[0.0, 0.3333333333333333)', '[0.0, infinity)'];['[0.0, 0.06666666666666667)', '[0.5333333333333333, 0.6)', '[0.13333333333333333, 0.6)', '[0.26666666666666666, 0.6666666666666666)'];['[0.6666666666666666, 0.7333333333333333)', '[0.6666666666666666, 0.7333333333333333)', '[0.6666666666666666, 0.7333333333333333)', '[0.6666666666666666, 0.8)', '[0.7333333333333333, 0.8)']
001+016;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, 0.2)', '[0.0, 0.26666666666666666)', '[0.0, infinity)'];['[0.13333333333333333, 0.4666666666666667)', '[0.5333333333333333, 0.6)', '[0.2, 0.6666666666666666)'];['[0.5333333333333333, 0.6666666666666666)', '[0.6666666666666666, 0.7333333333333333)', '[0.6666666666666666, 0.7333333333333333)']
001+019;['[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, 0.13333333333333333)', '[0.0, infinity)'];['[0.4666666666666667, 0.5333333333333333)', '[0.06666666666666667, 0.6)', '[0.0, 0.6)'];['[0.6666666666666666, 0.7333333333333333)', '[0.6666666666666666, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8666666666666667)']
001+019;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, infinity)'];['[0.5333333333333333, 0.6)', '[0.06666666666666667, 0.6)', '[0.13333333333333333, 0.6)'];['[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)']
001+019;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, infinity)'];['[0.4666666666666667, 0.6)', '[0.0, 0.6)', '[0.0, 0.6666666666666666)'];['[0.6666666666666666, 0.7333333333333333)', '[0.7333333333333333, 0.8)', '[0.6666666666666666, 0.8)']
001+020;['[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, 0.2)', '[0.0, 0.2)', '[0.0, 0.4)', '[0.0, infinity)'];['[0.26666666666666666, 0.5333333333333333)', '[0.26666666666666666, 0.5333333333333333)', '[0.13333333333333333, 0.6666666666666666)', '[0.5333333333333333, 0.7333333333333333)'];['[0.7333333333333333, 0.8)', '[0.6, 0.8)', '[0.6666666666666666, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8666666666666667)']
001+020;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, 0.26666666666666666)', '[0.0, 0.4)', '[0.0, infinity)'];['[0.06666666666666667, 0.13333333333333333)', '[0.26666666666666666, 0.6)', '[0.5333333333333333, 0.6666666666666666)', '[0.26666666666666666, 0.6666666666666666)', '[0.2, 0.6666666666666666)'];['[0.6666666666666666, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.6666666666666666, 0.8)', '[0.6666666666666666, 0.8)', '[0.6666666666666666, 0.8666666666666667)', '[0.6666666666666666, 0.8666666666666667)']
001+020;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.2)', '[0.0, 0.3333333333333333)', '[0.0, 0.4)', '[0.0, infinity)'];['[0.0, 0.06666666666666667)', '[0.2, 0.6)', '[0.4, 0.6666666666666666)', '[0.26666666666666666, 0.6666666666666666)', '[0.6, 0.6666666666666666)'];['[0.6666666666666666, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.6666666666666666, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)']
001+027;['[0.0, 0.06666666666666667)', '[0.0, 0.2)', '[0.0, 0.2)', '[0.0, 0.26666666666666666)', '[0.0, infinity)'];['[0.3333333333333333, 0.6666666666666666)', '[0.3333333333333333, 0.7333333333333333)'];['[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.8, 0.8666666666666667)']
001+027;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.2)', '[0.0, 0.2)', '[0.0, infinity)'];['[0.26666666666666666, 0.7333333333333333)', '[0.2, 0.7333333333333333)'];['[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)']
001+027;['[0.0, 0.06666666666666667)', '[0.0, 0.2)', '[0.0, 0.2)', '[0.0, 0.26666666666666666)', '[0.0, infinity)'];['[0.3333333333333333, 0.6666666666666666)', '[0.26666666666666666, 0.6666666666666666)'];['[0.6666666666666666, 0.7333333333333333)', '[0.8, 0.8666666666666667)']
001+032;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, 0.13333333333333333)', '[0.0, 0.3333333333333333)', '[0.0, infinity)'];['[0.13333333333333333, 0.6666666666666666)', '[0.0, 0.6666666666666666)'];['[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)']
001+032;['[0.0, 0.13333333333333333)', '[0.0, 0.13333333333333333)', '[0.0, 0.2)', '[0.0, 0.3333333333333333)', '[0.0, infinity)'];['[0.2, 0.6)', '[0.06666666666666667, 0.7333333333333333)'];['[0.6666666666666666, 0.7333333333333333)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8666666666666667)']
