1;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.26666666666666666)', '[0.0, infinity)'];['[0.2, 0.6)', '[0.3333333333333333, 0.6666666666666666)', '[0.06666666666666667, 0.7333333333333333)'];['[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)'];4;3;4
1;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, infinity)'];['[0.13333333333333333, 0.6)', '[0.13333333333333333, 0.6)', '[0.2, 0.6666666666666666)'];['[0.6666666666666666, 0.7333333333333333)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.6666666666666666, 0.8)'];3;3;6
1;['[0.0, 0.06666666666666667)', '[0.0, infinity)'];['[0.13333333333333333, 0.6)', '[0.06666666666666667, 0.6)', '[0.2, 0.6666666666666666)'];['[0.6666666666666666, 0.7333333333333333)', '[0.6666666666666666, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.6666666666666666, 0.8)', '[0.8, 0.8666666666666667)'];2;3;7
2;['[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, 0.6)', '[0.0, infinity)'];['[0.06666666666666667, 0.7333333333333333)'];['[0.7333333333333333, 0.8)', '[0.7333333333333333, 0.8)', '[0.8, 0.8666666666666667)', '[0.7333333333333333, 0.8666666666666667)'];4;1;4
2;['[0.0, 0.06666666666666667)', '[0.0, 0.13333333333333333)', '[0.0, 0.6)', '[0.0, infinity)'];['[0.06666666666666667, 0.8)'];['[0.8, 0.8666666666666667)', '[0.8, 0.8666666666666667)', '[0.8, 0.8666666666666667)'];4;1;3
2;['[0.0, 0.06666666666666667)', '[0.0, 0.6666666666666666)', '[0.0, infinity)'];['[0.06666666666666667, 0.7333333333333333)'];['[0.8, 0.8666666666666667)'];3;1;1
3;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.4666666666666667)', '[0.0, 0.5333333333333333)', '[0.0, infinity)'];['[0.6666666666666666, 0.7333333333333333)', '[0.5333333333333333, 0.7333333333333333)', '[0.06666666666666667, 0.8)'];['[0.8, 0.8666666666666667)', '[0.8666666666666667, 0.9333333333333333)'];5;3;2
3;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.5333333333333333)', '[0.0, 0.6666666666666666)', '[0.0, infinity)'];['[0.6, 0.7333333333333333)', '[0.06666666666666667, 0.7333333333333333)'];['[0.8, 0.8666666666666667)', '[0.7333333333333333, 0.8666666666666667)', '[0.8, 0.8666666666666667)', '[0.8, 0.8666666666666667)'];5;2;4
3;['[0.0, 0.06666666666666667)', '[0.0, 0.5333333333333333)', '[0.0, 0.6666666666666666)', '[0.0, infinity)'];['[0.6, 0.6666666666666666)', '[0.6666666666666666, 0.8)', '[0.06666666666666667, 0.8)'];['[0.8, 0.8666666666666667)', '[0.8, 0.8666666666666667)', '[0.8, 0.8666666666666667)', '[0.8, 0.8666666666666667)'];4;3;4
4;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, infinity)'];['[0.3333333333333333, 0.7333333333333333)'];['[0.8, 0.8666666666666667)', '[0.8, 0.8666666666666667)'];3;1;2
4;['[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, 0.06666666666666667)', '[0.0, infinity)'];['[0.3333333333333333, 0.8)'];['[0.6666666666666666, 0.8666666666666667)', '[0.8, 0.8666666666666667)', '[0.8, 0.8666666666666667)', '[0.8, 0.8666666666666667)'];4;1;4
4;['[0.0, 0.06666666666666667)', '[0.0, infinity)'];['[0.26666666666666666, 0.7333333333333333)'];['[0.7333333333333333, 0.8)', '[0.8, 0.8666666666666667)', '[0.8, 0.8666666666666667)'];2;1;3
